study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,origin,setting,age,sex,mean_mass_g,lon,lat,trt_temp,bio_hier,trait,response,response_unit,mass_corrected,disp_trait,disp_unit,measure_time_h,time_lag_days,sample_size,chi,F,t,df,corr_coeff,corr_corrected,dispersal_def,notes,title,ref
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Male,0.002392,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Exploration,PC1,0.05,0,145,,,,,-0.02766749,n,"movement = high speed, low behavioural intermittence",,Functional traits in red flour beetles: the dispersal phenotype is associated with leg length but not body size nor metabolic rate,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12772
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Male,0.002392,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Exploration,PC2,0.05,0,145,,,,,-0.09355082,n,movement disp = linear distance travelled and low time in maze edge,,,
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Male,0.002392,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Activity,counts_h,1,0,145,,,,,0.1170228,n,,,,
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Female,0.002504,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Exploration,PC1,0.05,0,145,,,,,0.05459229,n,,,,
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Female,0.002504,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Exploration,PC2,0.05,0,145,,,,,-0.13124677,n,,,,
1,Arnold,2017,Fig 3,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,indoor lab,Adult,Female,0.002504,,,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),y,Activity,counts_h,1,0,145,,,,,0.1214956,n,,,,
2,Munn,2016,Fig 1,Endotherm,Mammalia,Macropus_fuliginosus,Macropus fuliginosus,wild,wild,Adult,Female,25200,141.716,-31.08,NA,Organism,Metabolism,Field MR,MJ d,n,Activity,km_d,216,0,5,,,,,0.8795435,n,,,"Field metabolic rate, movement distance, and grazing pressures by western grey kangaroos (Macropus fuliginosus melanops) and Merino sheep (Ovis aries) in semi-arid Australia",https://link.springer.com/article/10.1016/j.mambio.2016.04.001
2,Munn,2016,Fig 1,Endotherm,Mammalia,Ovis_aries,Ovis aries,wild,wild,Adult,Female,55200,,,NA,Organism,Metabolism,Field MR,MJ d,n,Activity,km_d,216,0,5,,,,,-0.8556018,n,,,,
3,Niitepold,2011,Fig 3,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,outdoor lab,Adult,Male,0.08,20.828,60.069,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),,Dispersal,residual rate,336,,15,,,,,-0.5021003,n,observed number of movements between habitat patches during mark-recapture,,Flight metabolic rate has contrasting effects on dispersal in the two sexes of the Glanville fritillary butterfly,https://link.springer.com/content/pdf/10.1007/s00442-010-1886-8.pdf
3,Niitepold,2011,Fig 3,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,outdoor lab,Adult,Female,0.1,,,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),,Dispersal,residual rate,336,,16,,,,,0.3025035,n,,,,
