study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,disp_mode,type,core,front,age,sex,mean_mass_g,lon_core,lat_core,lon_front,lat_front,dist_km,time_core,time_front,time_diff_y,dispersal_rate_km_y,rainfall_core_mm_y,rainfall_front_mm_y,rainfall_diff,temp_core,temp_front,temp_diff,exp_temp,bio_hier,trait,response,response_unit,mean_core,sd_core,se_core,n_core,mean_front,sd_front,se_front,n_front,shared_control,lnRR,notes,title,ref
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,30,Organism,Metabolism,Standard MR,ml O2 h,4.98,1.91,0.854177967,5,6.68,2.4,0.848528137,8,2,0.293688097,,Cane toads lack physiological enhancements for dispersal at the invasive front in Northern Australia,https://bio.biologists.org/content/1/1/37
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,30,Organism,Metabolism,Standard MR,ml O2 h,4.98,1.91,0.854177967,5,8.09,4.03,1.424820164,8,2,0.48519884,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,30,Organism,Metabolism,Max MR,ml O2 h,35.9,4.94,2.209235162,5,29.3,8.83,3.121876439,8,2,-0.203149779,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,30,Organism,Metabolism,Max MR,ml O2 h,35.9,4.94,2.209235162,5,48.2,6.61,2.336987912,8,2,0.294621726,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,15,Organism,Locomotor capacity,Sprint speed,cm s,10,1.3,0.581377674,5,9.4,1.2,0.424264069,8,2,-0.061875404,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,15,Organism,Locomotor capacity,Sprint speed,cm s,10,1.3,0.581377674,5,9.9,0.9,0.318198052,8,2,-0.010050336,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,20,Organism,Locomotor capacity,Sprint speed,cm s,23,3.1,1.386362146,5,21.7,5.5,1.944543648,8,2,-0.058181955,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,20,Organism,Locomotor capacity,Sprint speed,cm s,23,3.1,1.386362146,5,22,3.4,1.202081528,8,2,-0.044451763,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,25,Organism,Locomotor capacity,Sprint speed,cm s,30.8,6.6,2.95160973,5,31,9.3,3.288046533,8,2,0.006472515,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,25,Organism,Locomotor capacity,Sprint speed,cm s,30.8,6.6,2.95160973,5,27.5,7.5,2.651650429,8,2,-0.113328685,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,30,Organism,Locomotor capacity,Sprint speed,cm s,44.1,10.8,4.829906831,5,40.3,6.5,2.298097039,8,2,-0.090108314,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,30,Organism,Locomotor capacity,Sprint speed,cm s,44.1,10.8,4.829906831,5,33.7,13.2,4.666904756,8,2,-0.268961945,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,35,Organism,Locomotor capacity,Sprint speed,cm s,33.8,7.3,3.264659247,5,29.6,6.4,2.2627417,8,2,-0.132686441,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,35,Organism,Locomotor capacity,Sprint speed,cm s,33.8,7.3,3.264659247,5,25.7,3.6,1.272792206,8,2,-0.273969811,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,,Organism,Thermal tolerance,CTmin,degree celsius,11.3,0.7,0.313049517,5,10.9,0.7,0.247487373,8,2,-0.036039936,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,,Organism,Thermal tolerance,CTmin,degree celsius,11.3,0.7,0.313049517,5,10.4,0.8,0.282842712,8,2,-0.08299692,,,
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,,Organism,Thermal tolerance,CTmax,degree celsius,39.1,1,0.447213595,5,40,0.9,0.318198052,8,2,0.022756987,,,
